ID,Category,Title,Primary Keyword,Search Intent,Priority,Difficulty,Monetization Potential,Status,Notes
1,Home Fitness,Best Home Gym Equipment for Beginners,best home gym equipment for beginners,Commercial Investigation,High,Medium,High,HTML Published - Placeholder,Existing guide page needs full content written
2,Home Fitness,Best Adjustable Dumbbells 2026,best adjustable dumbbells,Commercial Investigation,High,Medium,High,Idea,High volume keyword; Amazon has many options at various price points
3,Home Fitness,Best Budget Treadmills Under $600,best treadmill under 600,Commercial Investigation,High,Hard,High,Idea,Expensive item = high commission; very competitive keyword
4,Home Fitness,Best Exercise Bikes Under $500,best exercise bike under 500,Commercial Investigation,High,Medium,High,Idea,Peloton hype drives searches; budget alternatives angle works well
5,Home Fitness,Best Fitness Trackers 2026,best fitness tracker 2026,Commercial Investigation,High,Hard,High,Idea,Evergreen high-volume term; update annually
6,Home Fitness,Best Resistance Bands Sets,best resistance bands,Commercial Investigation,Medium,Easy,Medium,Idea,Low-cost item but very high search volume; good for beginners audience
7,Home Fitness,Best Pull-Up Bars for Home,best pull up bar for home,Commercial Investigation,Medium,Easy,Medium,Idea,Simple purchase decision; good beginner-friendly content
8,Home Fitness,Best Yoga Mats 2026,best yoga mat,Commercial Investigation,Medium,Hard,Medium,Idea,Extremely competitive; differentiate with specific use case angles
9,Home Fitness,Best Kettlebells for Home Workouts,best kettlebells for home,Commercial Investigation,Medium,Medium,Medium,Idea,Growing category; good internal link to home gym equipment guide
10,Home Fitness,Best Home Gym Flooring,best gym flooring for home,Commercial Investigation,Medium,Medium,Medium,Idea,Often overlooked; low competition angle; pairs well with gym equipment guides
11,Home Fitness,Best Ab Rollers 2026,best ab roller,Commercial Investigation,Low,Easy,Low,Idea,Low-cost item; decent volume; easy win for new site
12,Home Fitness,Best Foam Rollers for Recovery,best foam roller,Commercial Investigation,Low,Easy,Low,Idea,Recovery audience; links well to workout equipment guides
13,Home Fitness,Best Jump Ropes for Home Cardio,best jump rope for workout,Commercial Investigation,Low,Easy,Low,Idea,Budget item; easy content; good for internal linking
14,Home Fitness,Best Weight Benches Under $300,best weight bench under 300,Commercial Investigation,High,Medium,High,Idea,Essential piece of equipment; pairs well with dumbbell guide
15,Home Fitness,Best Rowing Machines Under $800,best rowing machine under 800,Commercial Investigation,Medium,Medium,High,Idea,High-ticket item; growing popularity post-COVID home fitness boom
16,Home Fitness,Best Elliptical Machines for Home,best elliptical machine for home,Commercial Investigation,Medium,Hard,High,Idea,High-ticket; competitive; differentiate with space-saving angle
17,Home Fitness,Best Home Gym Mirrors,best mirror for home gym,Commercial Investigation,Low,Easy,Medium,Idea,Niche but growing; low competition; good upsell from gym equipment
